name,rate,category,location,info_link,cover_link
飞越疯人院,9.0,文艺,美国,https://movie.douban.com/subject/1292224/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
月神,9.0,文艺,美国,https://movie.douban.com/subject/6313765/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1605699709.jpg
这一场冒险,9.0,文艺,美国,https://movie.douban.com/subject/3098288/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2231701204.jpg
魔法门之英雄无敌3：死亡阴影,9.4,动作,美国,https://movie.douban.com/subject/4935231/,https://img3.doubanio.com/view/subject/l/public/s4432480.jpg
守望先锋：双龙,9.3,动作,美国,https://movie.douban.com/subject/26860017/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2417863546.jpg
指环王3：王者无敌,9.1,动作,美国,https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
攀登梅鲁峰,9.1,动作,美国,https://movie.douban.com/subject/26276373/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2286660380.jpg
蝙蝠侠：黑暗骑士,9.0,动作,美国,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王2：双塔奇兵,9.0,动作,美国,https://movie.douban.com/subject/1291572/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
将军号,9.0,动作,美国,https://movie.douban.com/subject/1292778/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.jpg
霸王别姬,9.5,文艺,香港,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg
南海十三郎,9.1,文艺,香港,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
一磅肉,9.0,文艺,香港,https://movie.douban.com/subject/3543679/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2342489640.jpg
60亿其他人,9.3,文艺,台湾,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
饮食男女,9.1,文艺,台湾,https://movie.douban.com/subject/1291818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
少年派的奇幻漂流,9.0,文艺,台湾,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
污秽森林,9.3,恐怖,日本,https://movie.douban.com/subject/27037041/,https://img3.doubanio.com/f/movie/30c6263b6db26d055cbbe73fe653e29014142ea3/pics/movie/movie_default_large.png
空之境界 未来福音,9.1,恐怖,日本,https://movie.douban.com/subject/11499092/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2037135869.jpg
四月一日灵异事件簿·笼,9.0,恐怖,日本,https://movie.douban.com/subject/5337533/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2228426613.jpg
东京物语,9.2,文艺,日本,https://movie.douban.com/subject/1291568/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg
情迷意乱,9.1,文艺,日本,https://movie.douban.com/subject/1422091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg
日本之形,9.1,文艺,日本,https://movie.douban.com/subject/2085511/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2253859656.jpg
无人知晓,9.0,文艺,日本,https://movie.douban.com/subject/1292337/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
放浪男孩OVA 告白 ～Each Seasons～,9.0,文艺,日本,https://movie.douban.com/subject/6902342/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2509356959.jpg
七武士,9.2,动作,日本,https://movie.douban.com/subject/1295399/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg
银魂剧场版：新译红樱篇,9.1,动作,日本,https://movie.douban.com/subject/4122194/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p612363092.jpg
空之境界 第七章 杀人考察（后）,9.0,动作,日本,https://movie.douban.com/subject/3399553/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2202703811.jpg
机动战士高达：逆袭的夏亚,9.0,动作,日本,https://movie.douban.com/subject/1401536/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p546980785.jpg
数码宝贝大电影一：滚球兽的诞生,9.0,动作,日本,https://movie.douban.com/subject/1303927/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2282582530.jpg
赛文奥特曼 我是地球人,9.0,动作,日本,https://movie.douban.com/subject/5041031/,https://img3.doubanio.com/view/subject/l/public/s4444833.jpg
我爱你,9.0,文艺,韩国,https://movie.douban.com/subject/5908478/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
女王召见,9.3,文艺,英国,https://movie.douban.com/subject/25717552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2119628656.jpg
怪鱼,9.3,文艺,英国,https://movie.douban.com/subject/4015862/,https://img3.doubanio.com/view/subject/l/public/s3963974.jpg
忠犬八公的故事,9.2,文艺,英国,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
寻找小糖人,9.1,文艺,英国,https://movie.douban.com/subject/7015798/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1741882642.jpg
危险关系,9.1,文艺,英国,https://movie.douban.com/subject/26745571/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2328681271.jpg
Belle & Sebastian - Fans Only,9.1,文艺,英国,https://movie.douban.com/subject/1892826/,https://img3.doubanio.com/view/subject/l/public/s3160084.jpg
少年派的奇幻漂流,9.0,文艺,英国,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
猫,9.0,文艺,英国,https://movie.douban.com/subject/24882759/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2149330928.jpg
影子大地,9.0,文艺,英国,https://movie.douban.com/subject/1299515/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2427877973.jpg
谁害怕弗吉尼亚·伍尔芙？,9.0,文艺,英国,https://movie.douban.com/subject/27018258/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2455199319.jpg
神秘博士：时间冲撞,9.2,动作,英国,https://movie.douban.com/subject/4188543/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p523688466.jpg
蝙蝠侠：黑暗骑士,9.0,动作,英国,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
里赫特：谜,9.5,文艺,法国,https://movie.douban.com/subject/1828568/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2509527741.jpg
这个杀手不太冷,9.4,文艺,法国,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
胡桃夹子,9.3,文艺,法国,https://movie.douban.com/subject/3533599/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2257772540.jpg
巴黎圣母院,9.3,文艺,法国,https://movie.douban.com/subject/20326557/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg
法国美食短片,9.3,文艺,法国,https://movie.douban.com/subject/26429900/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266906955.jpg
60亿其他人,9.3,文艺,法国,https://movie.douban.com/subject/5151494/,https://img3.doubanio.com/view/subject/l/public/s4689961.jpg
放牛班的春天,9.2,文艺,法国,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
脸庞，村庄,9.1,文艺,法国,https://movie.douban.com/subject/26764928/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2459499263.jpg
触不可及,9.1,文艺,法国,https://movie.douban.com/subject/6786002/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
天堂电影院,9.1,文艺,法国,https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg
